Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Pok\xc3\xa9mon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41,7.6,28.0,9.0,223.0
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,8.5,46.0,8.8,610.0
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,6.35,9.5,96.0,9.0,2327.0
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,6.34,8.3,94.0,7.1,1166.0
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,6.31,9.2,61.0,8.6,444.0
World of Warcraft,PC,2004.0,Role-Playing,Activision,6.31,9.3,57.0,7.3,2199.0
Driver,PS,1999.0,Action,GT Interactive,6.27,8.7,22.0,8.0,81.0
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,6.21,9.1,96.0,7.8,1510.0
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,6.19,7.3,51.0,7.4,95.0
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,6.09,9.4,88.0,8.3,2301.0
FIFA 15,PS4,2014.0,Sports,Electronic Arts,6.08,8.2,47.0,5.7,993.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,6.05,9.6,42.0,8.7,1035.0
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,6.03,9.4,20.0,9.4,934.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,5.99,9.4,82.0,8.7,3575.0
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,5.95,9.2,64.0,7.7,982.0
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,5.89,9.5,98.0,9.1,8039.0
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,5.82,9.5,85.0,6.8,5319.0
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,5.82,8.9,13.0,9.2,369.0
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,5.8,7.7,86.0,3.5,1208.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,5.78,8.7,65.0,8.8,202.0
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,5.74,8.9,8.0,8.9,102.0
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,5.74,9.7,14.0,7.9,774.0
Destiny,PS4,2014.0,Shooter,Activision,5.66,7.6,95.0,6.1,5389.0
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,5.64,8.0,17.0,8.9,62.0
Cooking Mama,DS,2006.0,Simulation,505 Games,5.64,6.7,35.0,7.2,21.0
Assassins Creed II,PS3,2009.0,Action,Ubisoft,5.55,9.1,70.0,8.6,1212.0
Assassins Creed,X360,2007.0,Adventure,Ubisoft,5.54,8.1,77.0,7.7,1084.0
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,5.49,9.2,90.0,8.0,516.0
Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49,8.4,19.0,7.8,42.0
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,9.6,42.0,8.6,2174.0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,5.48,8.1,48.0,8.7,124.0
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47,9.3,24.0,8.3,108.0
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,5.42,6.6,22.0,7.1,161.0
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,5.4,8.5,45.0,7.6,410.0
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,5.39,7.1,52.0,7.6,156.0
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,5.34,8.3,83.0,7.2,2506.0
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,5.3,9.4,22.0,8.9,792.0
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,5.3,8.9,33.0,8.4,896.0
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,5.29,8.4,70.0,8.1,734.0
Assassins Creed III,X360,2012.0,Action,Ubisoft,5.29,8.4,61.0,6.8,1204.0
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,8.5,45.0,6.6,404.0
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,5.28,8.1,53.0,5.4,900.0
Assassins Creed II,X360,2009.0,Action,Ubisoft,5.27,9.0,82.0,8.8,1320.0
Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,5.23,9.4,29.0,8.5,140.0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,5.21,8.9,63.0,8.8,249.0
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,5.19,8.5,72.0,8.6,149.0
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,5.17,9.0,48.0,6.1,404.0
Diablo III,PC,2012.0,Role-Playing,Activision,5.17,8.8,86.0,4.0,9643.0
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,5.13,6.8,30.0,7.6,100.0
Guitar Hero II,PS2,2006.0,Misc,RedOctane,5.12,9.2,69.0,8.5,113.0
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,5.1,8.0,88.0,6.5,608.0
Resident Evil 5,PS3,2009.0,Action,Capcom,5.09,8.4,76.0,7.5,671.0
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.08,9.0,57.0,8.0,418.0
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,5.07,8.9,51.0,8.0,233.0
Resident Evil,PS,1996.0,Action,Virgin Interactive,5.05,9.1,8.0,9.0,268.0
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,5.03,8.6,50.0,8.0,152.0
Tony Hawks Pro Skater,PS,1999.0,Sports,Activision,5.02,9.2,18.0,9.2,69.0
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,4.98,8.2,24.0,8.2,47.0
Links Crossbow Training,Wii,2007.0,Shooter,Nintendo,4.98,6.8,34.0,7.1,47.0
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,4.94,9.3,84.0,8.5,1658.0
Uncharted: Drakes Fortune,PS3,2007.0,Action,Sony Computer Entertainment,4.92,8.8,66.0,8.1,2332.0
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,4.91,8.8,29.0,8.0,121.0
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,4.85,9.3,82.0,8.2,3057.0
Assassins Creed,PS3,2007.0,Adventure,Ubisoft,4.82,8.1,40.0,7.3,777.0
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,4.8,9.2,101.0,8.7,2647.0
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,4.8,8.6,78.0,8.1,1289.0
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,4.79,8.8,20.0,9.0,239.0
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,4.76,8.0,9.0,5.4,46.0
Driver 2,PS,2000.0,Action,Atari,4.73,6.2,14.0,7.7,93.0
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,9.4,87.0,8.7,1477.0
Tony Hawks Pro Skater 2,PS,2000.0,Sports,Activision,4.68,9.8,19.0,7.7,301.0
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,4.67,8.2,32.0,8.2,78.0
Tomb Raider,PS,1996.0,Action,Eidos Interactive,4.63,9.1,13.0,8.6,149.0
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,4.62,7.3,50.0,7.6,120.0
Luigis Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,4.62,8.6,74.0,8.4,461.0
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,4.61,8.4,101.0,6.4,2455.0
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,4.6,9.6,80.0,8.9,977.0
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,4.6,8.6,36.0,8.4,87.0
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,4.57,9.1,83.0,8.2,619.0
Splatoon,WiiU,2015.0,Shooter,Nintendo,4.54,8.1,88.0,8.5,1189.0
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.53,9.1,30.0,7.9,78.0
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,4.53,8.5,69.0,7.9,167.0
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,4.49,8.4,29.0,8.2,39.0
Spider-Man: The Movie,PS2,2002.0,Action,Activision,4.48,7.6,25.0,7.9,42.0
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,4.47,9.3,83.0,9.0,1615.0
God of War,PS2,2005.0,Action,Sony Computer Entertainment,4.45,9.4,75.0,8.9,1007.0
Nintendo Land,WiiU,2012.0,Misc,Nintendo,4.42,7.7,61.0,7.9,473.0
