Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Game_Score
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,11.01,9.8,86.0,7.9,2958.0,27.22226045002004
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,10.95,9.6,16.0,8.8,140.0,19.48891902773879
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,10.87,9.0,82.0,8.4,925.0,26.198864408865
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,10.7,8.4,82.0,7.5,1115.0,24.715172581227478
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,10.6,9.4,67.0,6.3,2077.0,23.776748414125944
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,10.51,9.8,64.0,7.5,2849.0,25.35376488193328
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,10.28,7.3,29.0,2.6,2118.0,16.979729335164418
Just Dance 3,Wii,2011.0,Misc,Ubisoft,10.12,7.4,15.0,7.8,16.0,19.57158648669391
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,10.05,7.8,70.0,7.2,425.0,23.13746289690937
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,9.9,9.1,99.0,7.9,2053.0,27.210920159550454
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,9.77,8.7,87.0,7.0,3273.0,26.453299125620106
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,9.2,20.0,9.2,1297.0,20.403876180025517
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,9.49,9.3,23.0,9.0,135.0,20.151164391771594
Just Dance 2,Wii,2010.0,Misc,Ubisoft,9.44,7.4,24.0,7.3,24.0,19.34247458590749
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,9.37,7.1,10.0,2.6,1049.0,14.885275962862105
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,9.35,9.4,70.0,8.4,1322.0,24.992423298207868
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,9.34,8.8,70.0,8.7,628.0,25.464993625373328
FIFA 17,PS4,2016.0,Sports,Electronic Arts,9.07,8.5,41.0,4.9,442.0,20.413834549768584
Mario Party DS,DS,2007.0,Misc,Nintendo,8.91,7.2,27.0,7.8,85.0,19.18948410614465
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,8.84,9.6,89.0,8.4,3602.0,28.562539113519378
FIFA 16,PS4,2015.0,Sports,Electronic Arts,8.6,8.2,42.0,4.3,902.0,19.663075419585745
Halo 2,X,2004.0,Shooter,Microsoft Game Studios,8.49,9.5,91.0,8.2,1224.0,25.354193073569405
Wii Party,Wii,2010.0,Misc,Nintendo,8.39,6.8,42.0,7.5,55.0,20.073291245231154
Mario Party 8,Wii,2007.0,Misc,Nintendo,8.28,6.2,41.0,6.3,191.0,17.768722519504934
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,8.17,8.8,37.0,6.5,350.0,20.962215981056573
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,9.2,53.0,8.7,1077.0,22.485237328573113
The Sims 3,PC,2009.0,Simulation,Electronic Arts,8.01,8.6,75.0,7.6,894.0,23.893649234618533
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,7.86,9.0,24.0,8.6,658.0,19.728963970980377
Pok\xc3\xa9mon Platinum Version,DS,2008.0,Role-Playing,Nintendo,7.72,8.3,46.0,8.5,204.0,22.083838858070024
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,7.69,8.8,65.0,7.6,453.0,22.256374041204847
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,7.68,8.3,39.0,5.7,1446.0,20.966143090919342
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.54,9.7,87.0,9.1,1859.0,27.75880121184202
Call of Duty: World at War,X360,2008.0,Shooter,Activision,7.42,8.4,84.0,7.6,583.0,23.809954930191953
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,7.41,8.7,58.0,6.5,4258.0,25.1929117596641
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,7.33,8.4,57.0,7.4,2144.0,23.57781561964297
Uncharted 4: A Thiefs End,PS4,2016.0,Shooter,Sony Computer Entertainment,7.28,9.3,113.0,7.9,7238.0,32.50163938482208
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,7.23,8.8,82.0,9.1,1607.0,27.416382877441524
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,7.2,8.5,33.0,8.6,172.0,20.378349265265676
Just Dance,Wii,2009.0,Misc,Ubisoft,7.2,4.9,21.0,8.0,110.0,17.457320294976505
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,7.18,8.5,38.0,7.5,1762.0,22.33426869177623
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,7.16,9.6,15.0,9.1,371.0,19.67358115034412
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,7.16,9.5,73.0,9.0,1664.0,25.60727312236767
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,7.13,9.1,12.0,8.9,439.0,18.93400774734259
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,9.2,38.0,9.1,573.0,21.537404702921055
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,6.9,8.2,39.0,8.6,132.0,20.66823407503179
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,6.83,8.8,29.0,8.5,137.0,19.99218577617001
Just Dance 4,Wii,2012.0,Misc,Ubisoft,6.76,7.4,10.0,7.2,29.0,18.53084512211796
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,6.75,9.3,90.0,7.7,2746.0,26.275327781880005
Uncharted 3: Drakes Deception,PS3,2011.0,Action,Sony Computer Entertainment,6.74,9.2,97.0,8.3,3732.0,28.489429302170134
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,6.69,9.4,44.0,8.4,994.0,22.90116857372363
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,6.67,9.6,105.0,8.8,5226.0,30.28642050493728
Big Brain Academy,DS,2005.0,Misc,Nintendo,6.63,7.4,45.0,7.4,27.0,19.33674996755095
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,6.51,9.5,73.0,8.9,2475.0,26.817121196573602
FIFA 14,PS3,2013.0,Sports,Electronic Arts,6.48,8.6,37.0,4.3,576.0,18.802762337479702
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.47,8.7,77.0,8.6,368.0,24.804691467999255
Assassins Creed III,PS3,2012.0,Action,Ubisoft,6.46,8.5,41.0,6.9,1314.0,21.7831893761829
Halo: Combat Evolved,X,2001.0,Shooter,Microsoft Game Studios,6.43,9.7,68.0,8.6,1292.0,23.662036037389775
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,6.42,9.2,16.0,6.4,2530.0,20.8510548559553
Pok\xc3\xa9mon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41,7.6,28.0,9.0,223.0,19.916008590234934
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,8.5,46.0,8.8,610.0,21.343612392468103
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,6.35,9.5,96.0,9.0,2327.0,28.217111119030154
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,6.34,8.3,94.0,7.1,1166.0,24.31530220274984
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,6.31,9.2,61.0,8.6,444.0,22.508216144939905
World of Warcraft,PC,2004.0,Role-Playing,Activision,6.31,9.3,57.0,7.3,2199.0,22.592690951674765
Driver,PS,1999.0,Action,GT Interactive,6.27,8.7,22.0,8.0,81.0,18.239304970694345
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,6.21,9.1,96.0,7.8,1510.0,26.402697645941846
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,6.19,7.3,51.0,7.4,95.0,20.70889721169057
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,6.09,9.4,88.0,8.3,2301.0,26.03885412529794
FIFA 15,PS4,2014.0,Sports,Electronic Arts,6.08,8.2,47.0,5.7,993.0,20.919033712567952
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,6.05,9.6,42.0,8.7,1035.0,21.88343919198494
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,6.03,9.4,20.0,9.4,934.0,20.348168632620844
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,5.99,9.4,82.0,8.7,3575.0,27.289916961009297
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,5.95,9.2,64.0,7.7,982.0,22.97134373370033
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,5.89,9.5,98.0,9.1,8039.0,32.62440718389747
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,5.82,9.5,85.0,6.8,5319.0,26.74960876949242
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,5.82,8.9,13.0,9.2,369.0,18.946489529419193
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,5.8,7.7,86.0,3.5,1208.0,21.279131521577554
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,5.78,8.7,65.0,8.8,202.0,23.869026393378572
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,5.74,8.9,8.0,8.9,102.0,17.73129585362252
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,5.74,9.7,14.0,7.9,774.0,22.086598634875784
Destiny,PS4,2014.0,Shooter,Activision,5.66,7.6,95.0,6.1,5389.0,26.495021802379668
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,5.64,8.0,17.0,8.9,62.0,19.92803058990084
Cooking Mama,DS,2006.0,Simulation,505 Games,5.64,6.7,35.0,7.2,21.0,18.07544700607329
Assassins Creed II,PS3,2009.0,Action,Ubisoft,5.55,9.1,70.0,8.6,1212.0,24.904086555043833
Assassins Creed,X360,2007.0,Adventure,Ubisoft,5.54,8.1,77.0,7.7,1084.0,23.132547613535607
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,5.49,9.2,90.0,8.0,516.0,25.174285418511715
Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49,8.4,19.0,7.8,42.0,17.94513939574536
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,9.6,42.0,8.6,2174.0,24.614186822573092
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,5.48,8.1,48.0,8.7,124.0,21.95109344291722
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47,9.3,24.0,8.3,108.0,19.50038358070611
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,5.42,6.6,22.0,7.1,161.0,16.074514873862864
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,5.4,8.5,45.0,7.6,410.0,21.167394560329573
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,5.39,7.1,52.0,7.6,156.0,21.413483936796244
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,5.34,8.3,83.0,7.2,2506.0,24.470609211657408
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,5.3,9.4,22.0,8.9,792.0,20.243203495204476
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,5.3,8.9,33.0,8.4,896.0,23.575739656154767
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,5.29,8.4,70.0,8.1,734.0,24.178766319002065
Assassins Creed III,X360,2012.0,Action,Ubisoft,5.29,8.4,61.0,6.8,1204.0,22.63556652028749
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,8.5,45.0,6.6,404.0,19.073915014916125
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,5.28,8.1,53.0,5.4,900.0,20.765529230053446
Assassins Creed II,X360,2009.0,Action,Ubisoft,5.27,9.0,82.0,8.8,1320.0,25.796044611957523
Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,5.23,9.4,29.0,8.5,140.0,20.51379791386273
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,5.21,8.9,63.0,8.8,249.0,22.783732479239987
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,5.19,8.5,72.0,8.6,149.0,23.408880047369063
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,5.17,9.0,48.0,6.1,404.0,21.10715052189506
Diablo III,PC,2012.0,Role-Playing,Activision,5.17,8.8,86.0,4.0,9643.0,26.997986081767923
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,5.13,6.8,30.0,7.6,100.0,17.584352378799494
Guitar Hero II,PS2,2006.0,Misc,RedOctane,5.12,9.2,69.0,8.5,113.0,23.433815422848507
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,5.1,8.0,88.0,6.5,608.0,22.8480154613631
Resident Evil 5,PS3,2009.0,Action,Capcom,5.09,8.4,76.0,7.5,671.0,23.238991455658507
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.08,9.0,57.0,8.0,418.0,22.44880073374555
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,5.07,8.9,51.0,8.0,233.0,22.537309179576223
Resident Evil,PS,1996.0,Action,Virgin Interactive,5.05,9.1,8.0,9.0,268.0,18.01789145186735
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,5.03,8.6,50.0,8.0,152.0,21.311576703046804
Tony Hawks Pro Skater,PS,1999.0,Sports,Activision,5.02,9.2,18.0,9.2,69.0,19.433881885904093
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,4.98,8.2,24.0,8.2,47.0,19.742709951268186
Links Crossbow Training,Wii,2007.0,Shooter,Nintendo,4.98,6.8,34.0,7.1,47.0,18.15666952111011
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,4.94,9.3,84.0,8.5,1658.0,25.818570944306362
Uncharted: Drakes Fortune,PS3,2007.0,Action,Sony Computer Entertainment,4.92,8.8,66.0,8.1,2332.0,24.1241767194649
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,4.91,8.8,29.0,8.0,121.0,19.9314923708424
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,4.85,9.3,82.0,8.2,3057.0,26.702272000565163
Assassins Creed,PS3,2007.0,Adventure,Ubisoft,4.82,8.1,40.0,7.3,777.0,20.195419269996886
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,4.8,9.2,101.0,8.7,2647.0,28.020667454629603
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,4.8,8.6,78.0,8.1,1289.0,25.776389426847743
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,4.79,8.8,20.0,9.0,239.0,19.12270327617425
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,4.76,8.0,9.0,5.4,46.0,15.869582624432557
Driver 2,PS,2000.0,Action,Atari,4.73,6.2,14.0,7.7,93.0,15.523727951687597
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,9.4,87.0,8.7,1477.0,26.796676421161354
Tony Hawks Pro Skater 2,PS,2000.0,Sports,Activision,4.68,9.8,19.0,7.7,301.0,18.814376122699596
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,4.67,8.2,32.0,8.2,78.0,19.1305468879954
Tomb Raider,PS,1996.0,Action,Eidos Interactive,4.63,9.1,13.0,8.6,149.0,17.80866609753715
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,4.62,7.3,50.0,7.6,120.0,20.254321604212933
Luigis Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,4.62,8.6,74.0,8.4,461.0,24.853197818802062
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,4.61,8.4,101.0,6.4,2455.0,26.058214288335154
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,4.6,9.6,80.0,8.9,977.0,24.436299192004636
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,4.6,8.6,36.0,8.4,87.0,20.97817164125867
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,4.57,9.1,83.0,8.2,619.0,25.26288941867244
Splatoon,WiiU,2015.0,Shooter,Nintendo,4.54,8.1,88.0,8.5,1189.0,26.297497352608087
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.53,9.1,30.0,7.9,78.0,19.846038896312997
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,4.53,8.5,69.0,7.9,167.0,22.471797341371236
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,4.49,8.4,29.0,8.2,39.0,19.932156957799425
Spider-Man: The Movie,PS2,2002.0,Action,Activision,4.48,7.6,25.0,7.9,42.0,17.88452836403478
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,4.47,9.3,83.0,9.0,1615.0,27.262198496373813
God of War,PS2,2005.0,Action,Sony Computer Entertainment,4.45,9.4,75.0,8.9,1007.0,24.626341804279214
Nintendo Land,WiiU,2012.0,Misc,Nintendo,4.42,7.7,61.0,7.9,473.0,22.61423346498113
Tony Hawks Pro Skater 3,PS2,2001.0,Sports,Activision,4.41,9.7,34.0,7.5,298.0,19.644033182009153
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,4.39,8.6,19.0,8.9,33.0,20.15498344944031
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,4.39,9.4,90.0,8.7,1113.0,25.626676937091084
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,4.37,8.8,39.0,6.2,1759.0,21.910805433970804
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,4.37,8.2,36.0,9.1,138.0,20.924254164117276
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,4.36,5.6,37.0,8.3,32.0,19.150838366876624
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,4.35,8.6,70.0,8.1,718.0,22.918594747244505
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,4.33,8.7,64.0,9.0,778.0,23.33764403364545
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.27,8.9,95.0,6.5,2427.0,24.607159626317767
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,4.24,9.1,70.0,8.9,1130.0,25.00650174810203
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,4.24,7.9,10.0,7.3,6.0,16.342408836626362
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,4.23,9.1,68.0,9.3,968.0,24.087971173120742
FIFA 14,X360,2013.0,Sports,Electronic Arts,4.22,8.4,41.0,4.2,436.0,18.456227462936436
Assassins Creed: Revelations,PS3,2011.0,Action,Ubisoft,4.22,8.0,39.0,7.5,620.0,20.959511582507623
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,4.21,8.5,59.0,8.7,109.0,22.360353435496275
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,4.21,8.0,32.0,7.8,47.0,19.159737780544518
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,4.2,8.0,32.0,7.5,22.0,18.410779929360647
Assassins Creed: Revelations,X360,2011.0,Action,Ubisoft,4.2,8.0,77.0,7.2,570.0,22.961085100596843
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,4.19,8.0,67.0,7.1,120.0,21.094246306088113
Street Fighter IV,PS3,2009.0,Fighting,Capcom,4.17,9.4,61.0,7.3,331.0,22.601274880479956
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,4.14,9.5,25.0,7.7,65.0,19.172898026548122
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,4.14,9.2,79.0,9.2,10270.0,32.96310653161886
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.12,9.6,24.0,9.1,3179.0,21.437792933269243
Watch Dogs,PS4,2014.0,Action,Ubisoft,4.09,8.0,80.0,6.3,3018.0,24.43169862965183
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,4.09,9.1,46.0,7.9,789.0,21.879044395225375
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,4.09,8.7,89.0,7.6,2715.0,26.853266258884002
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,4.07,9.3,70.0,8.9,718.0,24.45289347573331
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,4.06,8.5,83.0,7.7,1663.0,25.5443269425858
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,4.06,8.4,81.0,8.1,775.0,24.30986488589831
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,4.05,5.6,27.0,6.0,44.0,15.58297151536218
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,4.05,9.0,66.0,8.3,381.0,23.162247312971004
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,4.05,8.5,25.0,8.5,118.0,18.75793264932281
Tom Clancys The Division,PS4,2016.0,Shooter,Ubisoft,4.0,8.0,64.0,7.0,2234.0,24.076127236561057
Assassins Creed: Unity,PS4,2014.0,Action,Ubisoft,3.99,7.0,40.0,4.9,2069.0,19.192295727928453
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,3.97,8.9,76.0,8.6,684.0,24.609978651425262
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,3.95,9.0,57.0,8.0,916.0,22.855663757869387
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,3.95,9.3,81.0,7.9,1972.0,25.783281454119496
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,3.94,8.4,65.0,8.8,73.0,22.91374323855345
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,3.92,9.4,32.0,8.1,9142.0,27.54747873193861
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,3.92,8.6,80.0,8.7,348.0,25.588614618515287
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,3.91,8.1,27.0,8.7,39.0,20.655675964539743
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,3.9,8.7,51.0,6.7,369.0,22.13919120467225
Tony Hawks Underground,PS2,2003.0,Sports,Activision,3.9,9.0,38.0,8.7,121.0,20.789270682236523
Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,3.87,8.8,62.0,8.7,233.0,22.605633924851375
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,3.87,8.4,9.0,7.3,224.0,17.863195828073707
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,3.85,9.1,26.0,9.1,38.0,20.68815441133573
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,3.85,7.6,64.0,7.9,104.0,21.989830200021633
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,3.83,7.8,49.0,3.7,1570.0,18.64488303729698
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,3.83,5.9,22.0,4.0,4.0,13.487287100184895
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,3.79,6.8,33.0,6.9,39.0,17.76271503986684
